Player,PTS,TRB,AST,STL,BLK
Nikola Jokić,2085,976,708,108,68
Luka Dončić,2370,647,686,99,38
Giannis Antetokounmpo,2222,841,476,87,79
Shai Gilgeous-Alexander,2254,415,465,150,67
Jayson Tatum,1987,601,364,75,43
Joel Embiid,1353,430,219,46,66
Stephen Curry,1956,330,379,54,28
Anthony Edwards,2049,430,405,101,42
Kevin Durant,2032,495,378,69,91
Anthony Davis,1876,961,266,91,178
Jalen Brunson,2212,278,519,70,13
LeBron James,1822,518,589,89,38
Devin Booker,1841,308,472,61,28
Kawhi Leonard,1613,416,244,111,59
Jaylen Brown,1610,387,249,83,37
Donovan Mitchell,1463,280,333,101,30
Victor Wembanyama,1522,755,274,88,254
Tyrese Haliburton,1389,271,752,83,48
Jimmy Butler,1246,318,298,79,17
Jamal Murray,1250,242,384,57,39
Zion Williamson,1601,406,352,77,47
De'Aaron Fox,1966,340,418,150,31
Paul George,1671,388,262,113,37
Bam Adebayo,1367,737,278,81,66
Kyrie Irving,1487,290,299,74,28
Domantas Sabonis,1593,1120,673,74,48
Damian Lillard,1775,320,508,72,18
Lauri Markkanen,1278,449,110,50,26
Paolo Banchero,1804,554,431,71,47
Ja Morant,226,50,73,7,5
Tyrese Maxey,1816,258,433,69,33
Karl-Anthony Towns,1349,515,189,43,41
Pascal Siakam,1737,565,342,63,25
Rudy Gobert,1061,982,102,52,162
Brandon Ingram,1332,324,363,50,40
Trae Young,1389,149,583,72,11
Derrick White,1107,310,377,74,87
Jrue Holiday,860,373,333,61,53
James Harden,1192,369,614,77,57
Jalen Williams,1355,282,322,80,45
Scottie Barnes,1191,494,363,75,88
Kristaps Porziņģis,1145,409,115,42,111
Chet Holmgren,1357,648,200,53,190
Alperen Sengun,1331,589,312,76,46
Julius Randle,1102,423,229,25,12
Jaren Jackson Jr.,1486,365,154,80,106
Desmond Bane,997,185,230,43,22
Jarrett Allen,1271,811,210,53,81
DeMar DeRozan,1897,340,421,90,45
Mikal Bridges,1606,372,299,81,30
Dejounte Murray,1753,416,502,111,24
Evan Mobley,785,468,160,45,72
Draymond Green,475,398,332,55,47
Darius Garland,1028,152,373,74,7
OG Anunoby,733,208,107,68,36
Aaron Gordon,1013,471,259,56,45
Khris Middleton,828,257,292,51,15
Franz Wagner,1421,381,269,76,28
LaMelo Ball,526,113,176,40,4
Cade Cunningham,1405,268,464,56,22
Fred VanVleet,1270,278,589,101,59
Brook Lopez,990,409,127,43,189
Coby White,1509,358,405,53,18
Alex Caruso,715,273,247,120,70
Jaden McDaniels,757,224,101,63,42
Michael Porter Jr.,1356,565,122,42,53
Herbert Jones,837,272,199,105,62
CJ McCollum,1322,286,305,62,41
Jalen Green,1610,423,291,66,28
Bradley Beal,964,232,265,52,27
Jerami Grant,1132,191,152,45,34
Jalen Johnson,896,488,203,67,47
Jalen Suggs,943,229,205,106,47
Devin Vassell,1323,261,277,73,23
Anfernee Simons,1039,167,255,23,5
Austin Reaves,1300,352,450,66,25
Myles Turner,1313,533,100,39,144
Zach LaVine,487,129,98,21,8
Naz Reid,1090,423,106,63,73
Tyler Herro,875,222,188,30,3
Jonathan Kuminga,1188,355,163,55,36
Kentavious Caldwell-Pope,766,183,183,98,42
Dillon Brooks,915,246,119,64,10
Kyle Kuzma,1553,464,296,37,49
Trey Murphy III,842,280,124,51,28
Marcus Smart,289,53,86,41,5
Norman Powell,1056,195,82,43,22
Josh Hart,761,675,331,75,23
Isaiah Hartenstein,582,626,188,87,85
Malcolm Brogdon,613,148,214,27,8
Mike Conley,869,218,449,88,17
Immanuel Quickley,1156,259,331,50,10
Donte DiVincenzo,1259,297,216,107,36
Nic Claxton,841,706,147,46,146
Brandon Miller,1279,315,175,66,42
Collin Sexton,1458,205,383,62,18
Dereck Lively II,483,378,60,36,77
Jabari Smith Jr.,1044,616,121,52,61
RJ Barrett,1170,315,193,31,22
Al Horford,562,413,168,38,62
